ID_ntb,name,longitude,latitude,occurrenceStatus,lifeStage,acceptedScientificName,kingdom,phylum,order,family,genus,species,stateProvince,year,month,day,sex,county,locality
1,"Dendroctonus frontalis Zimmermann, 1868",-70.565941,41.707193,PRESENT,Adult,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Massachusetts,2022,5,18,NA,NA,NA
2,"Dendroctonus frontalis Zimmermann, 1868",-86.565515,33.924771,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Alabama,2021,2,14,NA,NA,NA
3,"Dendroctonus frontalis Zimmermann, 1868",-76.084274,39.728293,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Pennsylvania,2021,4,18,NA,NA,NA
4,"Dendroctonus frontalis Zimmermann, 1868",-74.925191,39.575033,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,New Jersey,2021,11,11,NA,NA,NA
5,"Dendroctonus frontalis Zimmermann, 1868",-81.848355,30.783754,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2019,3,11,NA,NA,NA
6,"Dendroctonus frontalis Zimmermann, 1868",-82.32244,29.688118,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2019,3,25,NA,NA,NA
7,"Dendroctonus frontalis Zimmermann, 1868",-94.647045,31.624128,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Texas,2018,2,20,NA,NA,NA
8,"Dendroctonus frontalis Zimmermann, 1868",-72.762458,40.864436,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,New York,2018,2,3,NA,NA,NA
9,"Dendroctonus frontalis Zimmermann, 1868",-81.93,29.9966,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,3,30,NA,NA,NA
10,"Dendroctonus frontalis Zimmermann, 1868",-81.50472,28.76167,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,3,15,NA,NA,NA
11,"Dendroctonus frontalis Zimmermann, 1868",-81.711139,28.584417,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,3,23,NA,NA,NA
12,"Dendroctonus frontalis Zimmermann, 1868",-82.123152,28.514558,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,3,26,NA,NA,NA
13,"Dendroctonus frontalis Zimmermann, 1868",-82.4655,29.770117,PRESENT,Adult,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,3,29,MALE,NA,NA
14,"Dendroctonus frontalis Zimmermann, 1868",-85.63877,30.66667,PRESENT,NA,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,4,6,NA,NA,NA
15,"Dendroctonus frontalis Zimmermann, 1868",-85.076318,30.535414,PRESENT,Adult,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,5,31,FEMALE,NA,NA
16,"Dendroctonus frontalis Zimmermann, 1868",-82.59755,30.36238,PRESENT,Adult,"Dendroctonus frontalis Zimmermann, 1868",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus frontalis,Florida,2018,6,15,NA,NA,NA
