sanas	enfermas	papel
94,110,71	104,102,80	251,255,255		
53,70,51	38,35,18	252,255,255		
108,122,107	67,72,32	254,255,255
63,67,30	49,50,19	252,255,255
54,55,21	63,64,33	254,255,255
83,101,79	90,92,71	251,255,255	
102,118,91	63,57,41	192,195,200
95,114,86	81,78,59	186,189,194		
68,75,23	82,86,51	199,203,212		
74,80,32	99,74,43	212,219,227		
100,73,43	89,63,30	222,226,235
104,77,48	99,72,42	217,221,230
75,82,31	92,69,35	204,209,215
68,75,23	85,61,27	209,212,219
63,72,19	94,70,36	196,197,202
79,86,32	94,69,38	244,245,249		
78,87,32	66,79,23	247,248,252		
68,75,24	67,74,30	243,244,246		
62,70,23	63,73,21	242,243,247
76,82,34	63,71,22	245,246,250
71,77,29	67,74,32	242,243,247
69,75,29	65,78,25	243,244,246
122,117,75	66,76,24	247,248,252
141,129,89	101,103,64	244,245,249
145,135,100	99,101,54	205,206,210		
110,108,60	118,115,70	201,202,206		
120,114,64	125,119,71	205,206,210		
129,119,83	107,108,64	216,217,219
127,122,84	116,111,69	209,210,212
108,128,100	97,65,26	179,182,165	
54,43,13	67,82,51	101,90,104
56,45,13	63,78,45	109,103,115
78,65,23	64,78,52	219,237,241
62,76,40	67,81,55	229,244,247
75,89,54	53,64,34	110,93,83
37,52,11	47,57,30	211,194,184
69,84,55	73,84,52	101,115,116	
67,80,52	44,54,30	97,115,119
77,91,65	67,87,50	132,115,107

		
		
		




		
	
	





		
	
	
	
		
		
		
		

	

	
